Feature,Importance
amt_log,2942
category_target_enc,2810
amt_sum_recent,1976
city_target_enc,1698
idade,1649
time_diff_hours,1429
hour_sin,1333
avg_amt_expanding,1160
stddev_amt_expanding,1080
merchant_target_enc,1004
hour_cos,950
txn_count_recent,947
city_pop_log,899
job_target_enc,886
amt_zscore_expanding,850
first_digit,639
month,577
distance_km,532
state_target_enc,513
dow_sin,264
dow_cos,211
last_digit,208
gender_F,179
gender_M,49
amt_is_outlier,15
