Feature,Importance
amt_log,0.2684265040553256
amt_sum_recent,0.20928807778263156
amt_zscore_expanding,0.12325697895595894
hour_cos,0.09952395801695824
category_target_enc,0.045833974905931475
city_target_enc,0.04568404209701467
amt_is_outlier,0.04390091355372605
merchant_target_enc,0.03221695659430927
hour_sin,0.021881967889564174
avg_amt_expanding,0.01939643641355246
time_diff_hours,0.016721541121397523
first_digit,0.01479994229296833
job_target_enc,0.012853614578196327
txn_count_recent,0.012311622690444196
stddev_amt_expanding,0.007749558471337858
idade,0.006027094139850082
city_pop_log,0.004515693488572363
month,0.003264112182037209
distance_km,0.003093876512040493
state_target_enc,0.002863395396280366
dow_sin,0.0016894979150904317
last_digit,0.001615688205793198
dow_cos,0.0012382732618943712
gender_M,0.0009252440402773769
gender_F,0.0009210354388476103
